อ	A
อนุฏฺฐหาน	Anuṭṭhahāna
อนุฏฺฐาตรฺ	Anuṭṭhātar
อนุฏฺฐาน	Anuṭṭhāna
อนุฏฺฐิต	Anuṭṭhita
อนุฏฺฐุภติ	Anuṭṭhubhati
อนุฏฺฐุรินฺ	Anuṭṭhurin
อนุฑสติ	Anuḍasati
อนุฑหติ	Anuḍahati
อนุฑหน	Anuḍahana
อนุณฺณต	Anuṇṇata
อนุตปฺปติ	Anutappati
อนุตาป	Anutāpa
อนุตาปินฺ	Anutāpin
อนุตาปิย	Anutāpiya
อนุตาเฬติ	Anutāḷeti
อนุติฏฺฐติ	Anutiṭṭhati
อนุตีเร	Anutīre
อนุตฺตร	Anuttara
อนุตฺตริย	Anuttariya
อนุตฺตาน	Anuttāna
อนุตฺถุนา	Anutthunā
อนุตฺถุนาติ	Anutthunāti
อนุตฺราสินฺ	Anutrāsin
อนุเถร	AnuThera
อนุททาติ	Anudadāti
อนุทยติ	Anudayati
อนุทสฺสิต	Anudassita
อนุทหติ	Anudahati
อนุทิฏฺฐ	Anudiṭṭha
อนุทิฏฺฐิ	Anudiṭṭhi
อนุทิสติ	Anudisati
อนุทิสา	Anudisā
อนุทีเปติ	Anudīpeti
อนุทูต	Anudūta
อนุเทว	Anudeva
อนุทฺทยตา	Anuddayatā
อนุทฺทยา	Anuddayā
อนุทฺทา	Anuddā
อนุทฺธํเสติ	Anuddhaṃseti
อนุทฺธต	Anuddhata
อนุทฺธรินฺ	Anuddharin
อนุทฺธสฺต	Anuddhasta
อนุธมฺม	Anudhamma
อนุธมฺมตา	Anudhammatā
อนุธาเรติ	Anudhāreti
อนุธาวติ	Anudhāvati
อนุธาวินฺ	Anudhāvin
อนุนที	Anunadī
อนุนมติ	Anunamati
อนุนย	Anunaya
อนุนยน	Anunayana
อนุนาสิก	Anunāsika
อนุนีต	Anunīta
อนุเนตรฺ	Anunetar
อนุเนติ	Anuneti
อนุป	Anupa
อนุปกมฺปติ	Anupakampati
อนุปกฺกม	Anupakkama
อนุปกฺกุฏฺฐ	Anupakkuṭṭha
อนุปกฺขนฺทติ	Anupakkhandati
อนุปขชฺชติ	Anupakhajjati
อนุปคจฺฉติ	Anupagacchati
อนุปฆาต	Anupaghāta
อนุปจิต	Anupacita
อนุปจินาติ	Anupacināti
อนุปชคฺฆติ	Anupajagghati
อนุปชฺชติ	Anupajjati
อนุปญฺจาหํ	Anupañcāhaṃ
อนุปญฺญตฺติ	Anupaññatti
อนุปฏิปาติ	Anupaṭipāti
อนุปฏฺฐิต	Anupaṭṭhita
อนุปตติ	Anupatati
อนุปติต	Anupatita
อนุปติตตฺต	Anupatitatta
อนุปฺปตฺต	Anuppatta
อนุปตฺติ	Anupatti
อนุปเถ	Anupathe
อนุปท	Anupada
อนุปทาตรฺ	Anupadātar
อนุปทาน	Anupadāna
อนุปทินฺน	Anupadinna
อนุปเทติ	Anupadeti
อนุปทฺทว	Anupaddava
อนุปธาเรติ	Anupadhāreti
อนุปธิก	Anupadhika
อนุปนฺน	Anupanna
อนุปพนฺธติ	Anupabandhati
อนุปพนฺธนตา	Anupabandhanatā
อนุปพนฺธนา	Anupabandhanā
อนุปพฺพชฺชา	Anupabbajjā
อนุปย	Anupaya
อนุปริคจฺฉติ	Anuparigacchati
อนุปริธาวติ	Anuparidhāvati
อนุปริยาติ	Anupariyāti
อนุปริยาย	Anupariyāya
อนุปริวตฺตติ	Anuparivattati
อนุปริวตฺติ	Anuparivatti
อนุปริวาเรติ	Anuparivāreti
อนุปริเวณิยํ	Anupariveṇiyaṃ
อนุปริสกฺกติ	Anuparisakkati
อนุปริสกฺกน	Anuparisakkana
อนุปริหรติ	Anupariharati
อนุปลิตฺต	Anupalitta
อนุปวชฺช	Anupavajja
อนุปวตฺตก	Anupavattaka
อนุปวตฺเตติ	Anupavatteti
อนุปวาท	Anupavāda
อนุปวิฏฺฐ	Anupaviṭṭha
อนุปวิฏฺฐตา	Anupaviṭṭhatā
อนุปวิสติ	Anupavisati
อนุปเวจฺฉติ	Anupavecchati
อนุปเวเสติ	Anupaveseti
อนุปสงฺกมติ	Anupasaṅkamati
อนุปสณฺฐปนา	Anupasaṇṭhapanā
อนุปสฺสิเวก	Anupassiveka
อนุปสฺสติ	Anupassati
อนุปสฺสนา	Anupassanā
อนุปสฺสินฺ	Anupassin
อนุปหต	Anupahata
อนุปาต	Anupāta
อนุปาตินฺ	Anupātin
อนุปาทํ	Anupādaṃ
อนุปาทา	Anupādā
อนุปาทาน	Anupādāna
อนุปาปิต	Anupāpita
อนุปาปุณาติ	Anupāpuṇāti
อนุปาเปติ	Anupāpeti
อนุปาย	Anupāya
อนุปายาส	Anupāyāsa
อนุปาลก	Anupālaka
อนุปาลน	Anupālana
อนุปาเลติ	Anupāleti
อนุปาหน	Anupāhana
อนุปิย	Anupiya
อนุปีฬํ	Anupīḷaṃ
อนุปุจฺฉติ	Anupucchati
อนุปุฏฺฐ	Anupuṭṭha
อนุปุพฺพ	Anupubba
อนุปุพฺพก	Anupubbaka
อนุปุพฺพต	Anupubbata
อนุปุพฺพิ-กถา	Anupubbi-kathā
อนุปุพฺพิกถา	Anupubbi-kathā
อนุเปกฺขติ	Anupekkhati
อนุเปกฺขนตา	Anupekkhanatā
อนุเปติ	Anupeti
อนุเปเสติ	Anupeseti
อนุโปสถิกํ	Anuposathikaṃ
อนุโปสิย	Anuposiya
อนุปฺป	Anuppa°
อนุปฺปทชฺชุํ	Anuppadajjuṃ
อนุปฺปนฺน	Anuppanna
อนุปฺปีฬ	Anuppīḷa
อนุผรณ	Anupharaṇa
อนุผุสียติ	Anuphusīyati
อนุพชฺฌติ	Anubajjhati
อนุพทฺธ	Anubaddha
อนุพนฺธ	Anubandha
อนุพนฺธติ	Anubandhati
อนุพนฺธน	Anubandhana
อนุพล	Anubala
อนุพุชฺฌติ	Anubujjhati
อนุพุชฺฌน	Anubujjhana
อนุพุทฺธ	Anubuddha
อนุโพธ	Anubodha
อนุโพธติ	Anubodhati
อนุโพธน	Anubodhana
อนุพฺพชติ	Anubbajati
อนุพฺพต	Anubbata
อนุพฺพิลฺลาวิตตฺต	Anubbillāvitatta
อนุพฺยญฺชน	Anubyañjana
อนุพฺรูหิต	Anubrūhita
อนุพฺรูเหติ	Anubrūheti
อนุภณนา	Anubhaṇanā
อนุภวติ	Anubhavati
อนุภวน	Anubhavana
อนุภาค	Anubhāga
อนุภายติ	Anubhāyati
อนุภาว	Anubhāva
อนุภาวตา	Anubhāvatā
อนุภาสติ	Anubhāsati
อนุภูต	Anubhūta
อนุภูยมานตฺต	Anubhūyamānatta
อนุม	Anuma
อนุมคฺเค	Anumagge
อนุมชฺชติ	Anumajjati
อนุมชฺชน	Anumajjana
อนุมชฺฌ	Anumajjha
อนุมญฺญติ	Anumaññati
อนุมต	Anumata
อนุมติ	Anumati
อนุมตฺต	Anumatta
อนุมสติ	Anumasati
อนุมาน	Anumāna
อนุมิตฺต	Anumitta
อนุมินาติ	Anumināti
อนุมียติ	Anumīyati
อนุโมทก	Anumodaka
อนุโมทติ	Anumodati
อนุโมทน	Anumodana
อนุโมทิต	Anumodita
อนุมฺมตฺต	Anummatta
อนุยนฺต	Anuyanta
อนุยาคินฺ	Anuyāgin
อนุยาต	Anuyāta
อนุยาติ	Anuyāti
อนุยายินฺ	Anuyāyin
อนุยุญฺชติ	Anuyuñjati
อนุยุญฺชนา	Anuyuñjanā
อนุยุตฺต	Anuyutta
อนุโยค	Anuyoga
อนุโยควนฺตฺ	Anuyogavant
อนุโยคินฺ	Anuyogin
อนุรกฺขก	Anurakkhaka
อนุรกฺขณ	Anurakkhaṇa
อนุรกฺขติ	Anurakkhati
อนุรกฺขา	Anurakkhā
อนุรกฺขินฺ	Anurakkhin
อนุรกฺขิย	Anurakkhiya
อนุรญฺชิต	Anurañjita
อนุรตฺต	Anuratta
อนุรวติ	Anuravati
อนุรวนา	Anuravanā
อนุรโห	Anuraho
อนุรุชฺฌติ	Anurujjhati
อนุรุทฺธ	Anuruddha
อนุรูป	Anurūpa
อนุโรทติ	Anurodati
อนุโรธ	Anurodha
อนุลปนา	Anulapanā
อนุลิตฺต	Anulitta
อนุลิมฺปติ	Anulimpati
อนุลิมฺปน	Anulimpana
อนุเลป	Anulepa
อนุโลกินฺ	Anulokin
อนุโลม	Anuloma
อนุโลมิก	Anulomika
อนุโลเมติ	Anulometi
อนุฬารตฺต	Anuḷāratta
อนุวชฺช	Anuvajja
อนุวตฺตก	Anuvattaka
อนุวตฺตติ	Anuvattati
อนุวตฺตน	Anuvattana
อนุวตฺตินฺ	Anuvattin
อนุวตฺเตติ	Anuvatteti
อนุวทติ	Anuvadati
อนุวทนา	Anuvadanā
อนุวสติ	Anuvasati
อนุวสฺสํ	Anuvassaṃ
อนุวสฺสิก	Anuvassika
อนุวาเจติ	Anuvāceti
อนุวาต	Anuvāta
อนุวาท	Anuvāda
อนุวาสน	Anuvāsana
อนุวาเสติ	Anuvāseti
อนุวิกฺขิตฺต	Anuvikkhitta
อนุวิคเณติ	Anuvigaṇeti
อนุวิจรติ	Anuvicarati
อนุวิจริต	Anuvicarita
อนุวิจาร	Anuvicāra
อนุวิจินก	Anuvicinaka
อนุวิจินฺเตติ	Anuvicinteti
อนุวิจฺจ	Anuvicca
อนุวิชฺชก	Anuvijjaka
อนุวิชฺชติ	Anuvijjati
อนุวิชฺฌติ	Anuvijjhati
อนุวิตกฺเกติ	Anuvitakketi
อนุวิทิต	Anuvidita
อนุวิทฺธ	Anuviddha
อนุวิธียติ	Anuvidhīyati
อนุวิธียนา	Anuvidhīyanā
อนุวิโลเกติ	Anuviloketi
อนุวิวฏฺฏ	Anuvivaṭṭa
อนุวิสฏ	Anuvisaṭa
อนุวุตฺถ	Anuvuttha
อนุเวชฺช	Anuvejja
อนุวฺยญฺชน	Anuvyañjana
อนุสํยายติ	Anusaṃyāyati
อนุสํวจฺฉร	Anusaṃvacchara
อนุสญฺจรติ	Anusañcarati
อนุสญฺจริต	Anusañcarita
อนุสญฺเจเตติ	Anusañceteti
อนุสญฺญาติ	Anusaññāti
อนุสฏ	Anusaṭa
อนุสตฺถรฺ	Anusatthar
อนุสตฺถิ	Anusatthi
อนุสนฺทติ	Anusandati
อนุสนฺทหติ	Anusandahati
อนุสนฺธนตา	Anusandhanatā
อนุสนฺธิ	Anusandhi
อนุสมฺปวงฺกตา	Anusampavaṅkatā
อนุสย	Anusaya
อนุสยิต	Anusayita
อนุสยินฺ	Anusayin
อนุสรติ	Anusarati
อนุสวติ	Anusavati
อนุสหคต	Anusahagata
อนุสายิก	Anusāyika
อนุสาร	Anusāra
อนุสารินฺ	Anusārin
อนุสาเรติ	Anusāreti
อนุสาสก	Anusāsaka
อนุสาสติ	Anusāsati
อนุสาสน	Anusāsana
อนุสาสนี	Anusāsanī
อนุสิกฺขติ	Anusikkhati
อนุสิกฺขินฺ	Anusikkhin
อนุสิฏฺฐ	Anusiṭṭha
อนุสิพฺพติ	Anusibbati
อนุสุณาติ	Anusuṇāti
อนุสุมฺภติ	Anusumbhati
อนุสุยฺยํ	Anusuyyaṃ
อนุสุยฺยก	Anusuyyaka
อนุเสฏฺฐิ	Anuseṭṭhi
อนุเสติ	Anuseti
อนุโสจติ	Anusocati
อนุโสจน	Anusocana
อนุโสต	Anusota°
อนุสฺสติ	Anussati
อนุสฺสท	Anussada
อนุสฺสรณ	Anussaraṇa
อนุสฺสรติ	Anussarati
อนุสฺสริตรฺ	Anussaritar
อนุสฺสว	Anussava
อนุสฺสวน	Anussavana
อนุสฺสวิก	Anussavika
อนุสฺสาวก	Anussāvaka
อนุสฺสาวน	Anussāvana
อนุสฺสาวิต	Anussāvita
อนุสฺสาเวติ	Anussāveti
อนุสฺสุก	Anussuka
อนุสฺสุกิต	Anussukita
อนุสฺสุต	Anussuta
อนุสฺสุติก	Anussutika
อนุสฺสุยฺยก	Anussuyyaka
อนุหสติ	Anuhasati
อนุหีรติ	Anuhīrati
อนูน	Anūna
อนูนก	Anūnaka
อนูนตา	Anūnatā
อนูป	Anūpa
อนูปฆาต	Anūpaghāta
อนูปธิก	Anūpadhika
อนูปนาหินฺ	Anūpanāhin
อนูปม	Anūpama
อนูปลิตฺต	Anūpalitta
อนูปวาท	Anūpavāda
อนูหต	Anūhata
อเนก	Aneka
อเนกํสา	Anekaṃsā
อเนกํสิกตา	Anekaṃsikatā
อเนช	Aneja
อเนธ	Anedha
อเนฬ	Aneḷa
อเนฬก	Aneḷaka
อเนสนา	Anesanā
อโน	Ano-
อโนก	Anoka
อโนฆ	Anogha
อโนชก	Anojaka
อโนชคฺฆติ	Anojagghati
อโนชา	Anojā
อโนตฺตปฺป	Anottappa
อโนตฺตาปินฺ	Anottāpin
อโนทก	Anodaka
อโนทิสฺสก	Anodissaka
อโนนมติ	Anonamati
อโนป	Anopa
อโนม	Anoma
อโนมชฺชติ	Anomajjati
อโนรปาร	Anorapāra
อโนรมติ	Anoramati
อโนวสฺส	Anovassa
อโนวสฺสก	Anovassaka
อโนสิต	Anosita
อนฺต	Anta
อนฺตก	Antaka
อนฺตมโส	Antamaso
อนฺตร	Antara
อนฺตรํส	Antaraṃsa
อนฺตรฏฺฐก	Antaraṭṭhaka
อนฺตรธาน	Antaradhāna
อนฺตรธายติ	Antaradhāyati
อนฺตรธายน	Antaradhāyana
อนฺตรยติ	Antarayati
อนฺตรหิต	Antarahita
อนฺตรา	Antarā
อนฺตราปณ	Antarāpaṇa
อนฺตราย	Antarāya
อนฺตรายิก	Antarāyika
อนฺตรายิกินฺ	Antarāyikin
อนฺตราฬ	Antarāḷa
อนฺตริก	Antarika
อนฺตริกา	Antarikā
อนฺตลิกฺข	Antalikkha
อนฺตวนฺตฺ	Antavant
อนฺติ	Anti
อนฺติก	Antika
อนฺติม	Antima
อนฺเต	Ante°
อนฺโต	Anto
อนฺทุ	Andu
อนฺธ	Andha
อนฺธก	Andhaka
อนฺน	Anna
อนฺนย	Annaya
อนฺวกาสิ	Anvakāsi
อนฺวกฺขร	Anvakkhara
อนฺวคา	Anvagā
อนฺวคู	Anvagū
อนฺวฑฺฒมาสํ	Anvaḍḍhamāsaṃ
อนฺวตฺถ	Anvattha
อนฺวเทว	Anvadeva
อนฺวย	Anvaya
อนฺวยตา	Anvayatā
อนฺวหํ	Anvahaṃ
อนฺวาคจฺฉติ	Anvāgacchati
อนฺวาคต	Anvāgata
อนฺวาทิสติ	Anvādisati
อนฺวาธิก	Anvādhika
อนฺวามทฺทติ	Anvāmaddati
อนฺวาย	Anvāya
อนฺวายิก	Anvāyika
อนฺวาโรหติ	Anvārohati
อนฺวาวสฺส	Anvāvassa
อนฺวาวิฏฺฐ	Anvāviṭṭha
อนฺวาวิสติ	Anvāvisati
อนฺวาสตฺต	Anvāsatta
อนฺวาสตฺตตา	Anvāsattatā
อนฺวาสนฺน	Anvāsanna
อนฺวาสฺสวติ	Anvāssavati
อนฺวาหต	Anvāhata
อนฺวาหิณฺฑติ	Anvāhiṇḍati
อนฺเวติ	Anveti
อนฺเวส	Anvesa
อนฺเวสติ	Anvesati
อนฺเวสินฺ	Anvesin
อนฺห	Anha
อป	Apa°
อปกฑฺฒติ	Apakaḍḍhati
อปกต	Apakata
อปกตญฺญุ	Apakataññu
อปกนฺตติ	Apakantati
อปกโรติ	Apakaroti
อปกสฺสติ	Apakassati
อปการ	Apakāra
อปกาสติ	Apakāsati
อปกิริตูน	Apakiritūna
อปกฺกมติ	Apakkamati
อปคจฺฉติ	Apagacchati
อปคต	Apagata
อปคพฺภ	Apagabbha
อปคม	Apagama
อปงฺค	Apaṅga
อปจย	Apacaya
อปจายติ	Apacāyati
อปจายน	Apacāyana
อปจายิก	Apacāyika
อปจายินฺ	Apacāyin
อปจาร	Apacāra
อปจิต	Apacita
อปจิติ	Apaciti
อปจินาติ	Apacināti
อปจฺจ	Apacca
อปจฺจกฺข	Apaccakkha
อปจฺฉปุริม	Apacchapurima
อปชห	Apajaha
อปชิต	Apajita
อปชฺฌายติ	Apajjhāyati
อปญฺญก	Apaññaka
อปฏฺฐเปติ	Apaṭṭhapeti
อปณฺณก	Apaṇṇaka
