อ	A
อตีต	Atīta
อตีรทสฺสินฺ	Atīradassin
อตีว	Atīva
อโต	Ato
อโตณ	Atoṇa
อตฺต	Atta
อตฺตนฺ	Attan
อตฺตนิย	Attaniya
อตฺตมน	Attamana
อตฺตมนตา	Attamanatā
อตฺตาณ	Attāṇa
อตฺถ	Attha
อตฺถต	Atthata
อตฺถตฺต	Atthatta
อตฺถร	Atthara
อตฺถรก	Attharaka
อตฺถรณ	Attharaṇa
อตฺถรติ	Attharati
อตฺถวนฺตฺ	Atthavant
อตฺถาร	Atthāra
อตฺถิ	Atthi
อตฺถิก	Atthika
อตฺถิกวนฺตฺ	Atthikavant
อตฺถิตา	Atthitā
อตฺถินฺ	Atthin
อตฺถิย	Atthiya
อตฺร	Atra
อตฺรช	Atraja
อตฺริจฺฉ	Atriccha
อตฺริจฺฉตา	Atricchatā
อตฺริจฺฉา	Atricchā
อถ	Atha
อถพฺพณ	Athabbaṇa
อโถ	Atho
อท	Ada
อทก	Adaka
อทน	Adana
อทสก	Adasaka
อทาส	Adāsa
อทิฏฺฐา	Adiṭṭhā
อทินฺน	Adinna
อทุ	Adu
อทุํ	Aduṃ
อทูสก	Adūsaka
อทูสิย	Adūsiya
อเทติ	Adeti
อทฺท	Adda
อทฺทกฺขิ	Addakkhi
อทฺทสา	Addasā
อทฺทา	Addā
อทฺทายเต	Addāyate
อทฺทิ	Addi
อทฺทิต	Addita
อทฺธ	Addha
อทฺธนฺ	Addhan
อทฺธนิย	Addhaniya
อทฺธเนยฺย	Addhaneyya
อทฺธริย	Addhariya
อทฺธา	Addhā
อทฺธาน	Addhāna
อทฺธิก	Addhika
อทฺธิต	Addhita
อทฺธินฺ	Addhin
อทฺธุว	Addhuva
อทฺรูภก	Adrūbhaka
อทฺเวชฺฌตา	Advejjhatā
อธ	Adha°
อธม	Adhama
อธมฺม	Adhamma
อธร	Adhara
อธิ	Adhi
อธิก	Adhika
อธิกต	Adhikata
อธิกรณ	Adhikaraṇa
อธิกรณิก	Adhikaraṇika
อธิกรณี	Adhikaraṇī
อธิการ	Adhikāra
อธิการิก	Adhikārika
อธิกุฏฺฏนา	Adhikuṭṭanā
อธิกุสล	Adhikusala
อธิโกธิต	Adhikodhita
อธิคจฺฉติ	Adhigacchati
อธิคณฺหาติ	Adhigaṇhāti
อธิคต	Adhigata
อธิคตวนฺตฺ	Adhigatavant
อธิคม	Adhigama
อธิคเมติ	Adhigameti
อธิคฺคหีต	Adhiggahīta
อธิจิณฺณ	Adhiciṇṇa
อธิจิตฺต	Adhicitta
อธิเจโต	Adhiceto
อธิจฺจ	Adhicca
อธิเชคุจฺฉ	Adhijeguccha
อธิฏฺฐก	Adhiṭṭhaka
อธิฏฺฐาติ	Adhiṭṭhāti
อธิฏฺฐาน	Adhiṭṭhāna
อธิฏฺฐายก	Adhiṭṭhāyaka
อธิฏฺฐิต	Adhiṭṭhita
อธิเทว	Adhideva
อธิป	Adhipa
อธิปก	Adhipaka
อธิปชฺชติ	Adhipajjati
อธิปญฺญา	Adhipaññā
อธิปตติ	Adhipatati
อธิปตน	Adhipatana
อธิปติ	Adhipati
อธิปเตยฺย	Adhipateyya
อธิปตฺถิต	Adhipatthita
อธิปนฺน	Adhipanna
อธิปาฏิโมกฺข	Adhipāṭimokkha
อธิปาต	Adhipāta
อธิปติกา	Adhipatikā
อธิปาเตติ	Adhipāteti
อธิปฺปฆรติ	Adhippagharati
อธิปฺปาคา	Adhippāgā
อธิปฺปาย	Adhippāya
อธิปฺปาโยส	Adhippāyosa
อธิปฺเปต	Adhippeta
อธิปฺเปตตฺต	Adhippetatta
อธิพาเธติ	Adhibādheti
อธิพฺรหฺมา	Adhibrahmā
อธิภวติ	Adhibhavati
อธิภาสติ	Adhibhāsati
อธิภู	Adhibhū
อธิภูต	Adhibhūta
อธิมตฺต	Adhimatta
อธิมตฺตต	Adhimattata
อธิมน	Adhimana
อธิมาน	Adhimāna
อธิมานิก	Adhimānika
อธิมุจฺจติ	Adhimuccati
อธิมุจฺจน	Adhimuccana
อธิมุจฺจิต	Adhimuccita
อธิมุจฺจิตรฺ	Adhimuccitar
อธิมุตฺต	Adhimutta
อธิมุตฺติ	Adhimutti
อธิมุตฺติก	Adhimuttika
อธิโมกฺข	Adhimokkha
อธิยิต	Adhiyita
อธิโรห	Adhiroha
อธิวจน	Adhivacana
อธิวตฺตติ	Adhivattati
อธิวตฺถ	Adhivattha
อธิวร	Adhivara
อธิวาส	Adhivāsa
อธิวาสก	Adhivāsaka
อธิวาสน	Adhivāsana
อธิวาสนตา	Adhivāsanatā
อธิวาเสติ	Adhivāseti
อธิวาห	Adhivāha
อธิวาหน	Adhivāhana
อธิวิมุตฺตตฺต	Adhivimuttatta
อธิวิโมกฺขตฺต	Adhivimokkhatta
อธิวุตฺติ	Adhivutti
อธิวุตฺถ	Adhivuttha
อธิสยน	Adhisayana
อธิสยิต	Adhisayita
อธิสีล	Adhisīla
อธิเสติ	Adhiseti
อธีน	Adhīna
อธียติ	Adhīyati
อธุนา	Adhunā
อธุร	Adhura
อโธ	Adho
อนฺ	An-
อน	Ana-
อนชฺฌิฏฺฐ	Anajjhiṭṭha
อนฏิ	Anaṭi
อนพฺภิต	Anabbhita
อนภุณฺณตตา	Anabhuṇṇatatā
อนภาว	Anabhāva
อนภิชฺฌา	Anabhijjhā
อนภิชฺฌาลู	Anabhijjhālū
อนภิชฺฌิต	Anabhijjhita
อนภินนฺทติ	Anabhinandati
อนภิรต	Anabhirata
อนภิรติ	Anabhirati
อนภิรทฺธ	Anabhiraddha
อนภิรทฺธิ	Anabhiraddhi
อนภิสมฺภุณมาน	Anabhisambhuṇamāna
อนมตคฺค	Anamatagga
อนมฺห	Anamha
อนย	Anaya
อนริย	Anariya
อนล	Anala
อนวย	Anavaya
อนโวสิต	Anavosita
อนสน	Anasana
อนสิตฺวาน	Anasitvāna
อนสุยฺยํ	Anasuyyaṃ
อนสุโรป	Anasuropa
อนสูยก	Anasūyaka
อนสฺสก	Anassaka
อนสฺสน	Anassana
อนสฺสาวินฺ	Anassāvin
อนสฺสาสิก	Anassāsika
อนสฺสุํ	Anassuṃ
อนาคต	Anāgata
อนาคมน	Anāgamana
อนาคามิตา	Anāgāmitā
อนาคามินฺ	Anāgāmin
อนาคาร	Anāgāra
อนาฆาต	Anāghāta
อนาจาร	Anācāra
อนาชานิย	Anājāniya
อนาทร	Anādara
อนาทรตา	Anādaratā
อนาทริย	Anādariya
อนาทา	Anādā
อนาทาน	Anādāna
อนาทิตฺวา	Anāditvā
อนาทิยิตฺวา	Anādiyitvā
อนานุ	Anānu-
อนาปาถคต	Anāpāthagata
อนาปาท	Anāpāda
อนาปุจฺฉา	Anāpucchā
อนาพาธ	Anābādha
อนามต	Anāmata
อนามนฺต	Anāmanta
อนามย	Anāmaya
อนามสิต	Anāmasita
อนามสฺส	Anāmassa
อนายตน	Anāyatana
อนายส	Anāyasa
อนายาส	Anāyāsa
อนารมฺภ	Anārambha
อนาราธก	Anārādhaka
อนาริย	Anāriya
อนาลมฺพ	Anālamba
อนาลย	Anālaya
อนาฬฺหิย	Anāḷhiya
อนาวฏ	Anāvaṭa
อนาวตฺตินฺ	Anāvattin
อนาวสูรํ	Anāvasūraṃ
อนาวาส	Anāvāsa
อนาวิกต	Anāvikata
อนาวิล	Anāvila
อนาวุตฺถ	Anāvuttha
อนาสก	Anāsaka
อนาสกตฺต	Anāsakatta
อนาสว	Anāsava
อนาสสาน	Anāsasāna
อนาหาร	Anāhāra
อนิกฺกฑฺฒนา	Anikkaḍḍhanā
อนิกฺกสาว	Anikkasāva
อนิขาต	Anikhāta
อนิฆ	Anigha
อนิจฺฉา	Anicchā
อนิญฺชน	Aniñjana
อนิญฺชิต	Aniñjita
อนิฏฺฐงฺคต	Aniṭṭhaṅgata
อนิฏฺฐิต	Aniṭṭhita
อนิตฺถิ	Anitthi
อนินฺทิ	Anindi-
อนินฺทิต	Anindita
อนิพฺพิสํ	Anibbisaṃ
อนิมิส	Animisa
อนิยต	Aniyata
อนิยมิต	Aniyamita
อนิรากต	Anirākata
อนิล	Anila
อนิสฺสร	Anissara
อนิสฺสุกินฺ	Anissukin
อนีก	Anīka
อนีฆ	Anīgha
อนีติ	Anīti
อนีติก	Anītika
อนีติห	Anītiha
อนุ	Anu
อนุกงฺขินฺ	Anukaṅkhin
อนุกนฺตติ	Anukantati
อนุกมฺปก	Anukampaka
อนุกมฺปติ	Anukampati
อนุกมฺปน	Anukampana
อนุกมฺปา	Anukampā
อนุกมฺปิต	Anukampita
อนุกมฺปินฺ	Anukampin
อนุกโรติ	Anukaroti
อนุกสฺสติ	Anukassati
อนุกาม	Anukāma
อนุการ	Anukāra
อนุการินฺ	Anukārin
อนุกิณฺณ	Anukiṇṇa
อนุกุพฺพ	Anukubba
อนุกุพฺพติ	Anukubbati
อนุกุล	Anukula
อนุกุลก	Anukulaka
อนุกูล	Anukūla
อนุกฺกณฺฐติ	Anukkaṇṭhati
อนุกฺกณฺฐน	Anukkaṇṭhana
อนุกฺกม	Anukkama
อนุกฺกมติ	Anukkamati
อนุกฺขิปติ	Anukkhipati
อนุกฺเขป	Anukkhepa
อนุขณติ	Anukhaṇati
อนุขุทฺทก	Anukhuddaka
อนุค	Anuga
อนุคจฺฉติ	Anugacchati
อนุคต	Anugata
อนุคติ	Anugati
อนุคม	Anugama
อนุคามิก	Anugāmika
อนุคามินฺ	Anugāmin
อนุคายติ	Anugāyati
อนุคาหติ	Anugāhati
อนุคิชฺฌติ	Anugijjhati
อนุคิทฺธ	Anugiddha
อนุคฺคณฺห	Anuggaṇha
อนุคฺคณฺหตก	Anuggaṇhataka
อนุคฺคณฺหน	Anuggaṇhana
อนุคฺคณฺหาติ	Anu(g)gaṇhāti
อนุคฺคห	Anuggaha
อนุคฺคหีต	Anuggahīta
อนุคฺคาหก	Anuggāhaka
อนุคฺฆาเฏติ	Anugghāṭeti
อนุคฺฆาต	Anugghāta
อนุคฺฆาตินฺ	Anugghātin
อนุฆายติ	Anughāyati
อนุจงฺกมติ	Anucaṅkamati
อนุจงฺกมน	Anucaṅkamana
อนุจรติ	Anucarati
อนุจริต	Anucarita
อนุจิณฺณ	Anuciṇṇa
อนุจินฺตน	Anucintana
อนุจินฺเตติ	Anucinteti
อนุจฺจงฺคินฺ	Anuccaṅgin
อนุจฺฉวิก	Anucchavika
อนุจฺฉิฏฺฐ	Anucchiṭṭha
อนุชคฺฆติ	Anujagghati
อนุชวติ	Anujavati
อนุชาต	Anujāta
อนุชานาติ	Anujānāti
อนุชีวติ	Anujīvati
อนุชีวิต	Anujīvita
อนุชีวินฺ	Anujīvin
อนุชฺชุ	Anujju
อนุชฺชุก	Anujjuka
อนุชฺฌาน	Anujjhāna
อนุญฺญาต	Anuññāta
อนุญฺญาตตฺต	Anuññātatta
อนุฏฺฐก	Anuṭṭhaka
อนุฏฺฐหติ	Anuṭṭhahati
